;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp;dist
143;6;{'number': 6, 'reviews': 37, 'score': 4.2, 'status': 'online', 'uid': '588'};0;2aad166492e099938af239a535d770e3;45.133102925422556;7.632536888122559;06. Municipio;2020-10-11T16:55:41.863000Z;
144;0;{'number': 7, 'reviews': 20, 'score': 3.0, 'status': 'offline', 'uid': '589'};0;a4792b55af4c2ed4730f24207b924ead;45.125836425730945;7.642192840576172;07. Buozzi;2020-10-11T16:55:41.863000Z;
145;2;{'number': 8, 'reviews': 10, 'score': 4.1, 'status': 'online', 'uid': '590'};2;99d05089c79ad0acfd5d3acecaf2cd83;45.12489776867726;7.6529645919799805;08. San Marchese;2020-10-11T16:55:41.863000Z;5503828.84529719
146;0;{'number': 10, 'reviews': 40, 'score': 4.5, 'status': 'offline', 'uid': '592'};0;f16cba9c6dc917e833eab7bf3e0168b7;45.114828943536864;7.641313076019287;10. Gallo Praile;2020-10-11T16:55:41.863000Z;
147;0;{'number': 2, 'reviews': 11, 'score': 3.0, 'status': 'offline', 'uid': '593'};0;d6806ba5784a0d60f24f380a9b09a1cb;45.099654215224064;7.531235218048096;02. Berlinguer;2020-10-11T16:55:41.900000Z;
148;0;{'number': 1, 'reviews': 16, 'score': 2.1, 'status': 'offline', 'uid': '594'};0;0df8838da4cf2ffe0eaf28629b902dd7;45.094383006473215;7.524325847625732;01. Municipio;2020-10-11T16:55:41.900000Z;
149;0;{'number': 1, 'reviews': 20, 'score': 2.8, 'status': 'offline', 'uid': '595'};0;8bca5f91b24693d216f576525e7c1647;45.136100086850355;7.576360702514648;01. Largo Oropa;2020-10-11T16:55:41.930000Z;
150;8;{'number': 2, 'reviews': 1, 'score': 1.0, 'status': 'online', 'uid': '1563'};2;d55bde750a05150e2bd91d020a5a743e;45.134345;7.576462;02. BIKE POINT Mandria;2020-10-11T16:55:41.930000Z;5509193.889998993
151;14;{'number': 189, 'reviews': 219, 'score': 4.4, 'status': 'online', 'uid': '900'};1;78bf03a623351ed777d06aa163c2a7fe;45.08042420000004;7.730760400000008;Sassi;2020-10-11T16:55:41.761000Z;5496208.148909058
152;13;{'number': 187, 'reviews': 4, 'score': 3.8, 'status': 'online', 'uid': '1285'};0;4e79bba70c39bd21e64bc4063c5ab09a;45.096708600000014;7.671545299999934;Giachino;2020-10-11T16:55:41.762000Z;
153;0;{'number': 196, 'reviews': 302, 'score': 4.2, 'status': 'offline', 'uid': '519'};0;fb1ae7585d10d32066eb9fcba0a500f5;45.03441079999;7.6375261;San Remo;2020-10-11T16:55:41.761000Z;
154;11;{'number': 195, 'reviews': 24, 'score': 3.5, 'status': 'online', 'uid': '528'};2;47a68b00853f1e0dad4edd46e31ad835;45.0309787;7.6118612;Orbassano 2;2020-10-11T16:55:41.761000Z;5500535.345837319
155;0;{'number': 194, 'reviews': 1, 'score': 1.0, 'status': 'offline', 'uid': '989'};2;004bff4fc3c11ceaf4fcb6280340c54c;45.0293578;7.618955;Settembrini;2020-10-11T16:55:41.761000Z;5499992.152532952
156;12;{'number': 190, 'reviews': 1, 'score': 1.0, 'status': 'online', 'uid': '1287'};2;e423718a4a3950808bb7abde20469b8d;45.0894413;7.693284700000049;Palermo;2020-10-11T16:55:41.762000Z;5499104.324260444
157;15;{'number': 199, 'reviews': 4, 'score': 3.6, 'status': 'online', 'uid': '1667'};0;055bfeb73e15dd3eb17558c483954eff;45.0787395;7.6928751;Palermo 2;2020-10-11T16:55:41.762000Z;
158;7;{'number': 201, 'reviews': 1, 'score': 1.0, 'status': 'online', 'uid': '1668'};6;e09e8b7510812fc3ea7e6697b673b478;45.0926762;7.6857065;Cigna 2;2020-10-11T16:55:41.762000Z;5499778.183798795
159;0;{'number': 9, 'reviews': 29, 'score': 4.7, 'status': 'offline', 'uid': '591'};0;dff9f20a6eb38d6a666eccb3cff13fd8;45.120052841530544;7.6485657691955575;09. Rigola;2020-10-11T16:55:41.863000Z;
160;0;{'number': 140, 'reviews': 21, 'score': 3.8, 'status': 'under construction', 'uid': '1238'};0;e30f4a4bb0e02336189fa77b25f26f71;45.0698215;7.698546699999;Santa Giulia;2020-10-11T16:55:41.761000Z;
161;8;{'number': 50, 'reviews': 858, 'score': 4.5, 'status': 'online', 'uid': '299'};1;75f7e1a9926635ef44f5e6a80bfdc09f;45.074594;7.690499;Regina Margherita 4;2020-10-11T16:55:41.761000Z;5498352.783967147
